Age My	Age ky before 2015	δ18O	Tdo	Ts	T anomaly
0.4613	461.4	4.77	-0.70	10.86	-3.14
0.4621	462.2	4.37	-0.79	10.68	-3.32
0.463	463.1	4.20	-0.75	10.74	-3.26
0.4638	463.9	4.46	-0.59	11.08	-2.92
0.4649	465.0	4.43	-0.59	11.07	-2.93
0.4657	465.8	4.20	-0.63	10.99	-3.01
0.4666	466.7	4.38	-0.49	11.27	-2.73
0.4675	467.6	4.33	-0.54	11.16	-2.84
0.4687	468.8	3.99	-0.68	10.89	-3.11
0.4695	469.6	4.61	-0.84	10.57	-3.43
0.4703	470.4	4.67	-0.81	10.64	-3.36
0.4711	471.2	4.92	-0.74	10.77	-3.23
0.4721	472.2	4.22	-0.60	11.05	-2.95
0.4729	473.0	3.76	-0.36	11.53	-2.47
0.4738	473.9	4.14	0.05	12.35	-1.65
0.4746	474.7	3.85	0.06	12.36	-1.64
0.4758	475.9	3.52	-0.02	12.21	-1.79
0.4769	477.0	4.20	0.07	12.39	-1.61
0.4779	478.0	4.02	-0.09	12.06	-1.94
0.4787	478.8	3.83	-0.27	11.72	-2.28
0.4797	479.8	4.41	-0.30	11.65	-2.35
0.4805	480.6	4.11	-0.27	11.7	-2.3
0.4812	481.3	4.32	-0.31	11.63	-2.37
0.4818	481.9	3.92	-0.08	12.09	-1.91
0.4826	482.7	3.95	0.00	12.25	-1.75
0.4834	483.5	3.63	0.16	12.56	-1.44
0.484	484.1	3.84	0.17	12.6	-1.4
0.4844	484.5	3.79	0.12	12.5	-1.5
0.4852	485.3	3.86	0.08	12.41	-1.59
0.486	486.1	4.12	0.25	12.74	-1.26
0.4866	486.7	3.77	0.27	12.79	-1.21
0.4876	487.7	3.28	0.39	13.03	-0.970000000000001
0.4889	489.0	3.71	0.43	13.12	-0.880000000000001
0.4899	490.0	3.45	0.49	13.23	-0.77
0.4907	490.8	3.97	0.39	13.03	-0.970000000000001
0.4917	491.8	3.57	0.32	12.89	-1.11
0.4927	492.8	3.63	0.29	12.84	-1.16
0.4936	493.7	3.95	0.38	13.02	-0.98
0.4946	494.7	3.54	0.36	12.98	-1.02
